symbol,d,liquidity_quintile,median_daily_quote_volume,side,r_multiple
AEROUSDT,4,4,876830.41275,long,-1.0604459505397754
AEROUSDT,4,4,876830.41275,short,-1.0690530819516866
AEROUSDT,4,4,876830.41275,short,-1.0367819461144099
AEROUSDT,4,4,876830.41275,short,1.9734091545560624
AEROUSDT,4,4,876830.41275,short,1.936451098035093
AEROUSDT,4,4,876830.41275,short,-1.0683133234298474
AEROUSDT,4,4,876830.41275,short,-1.0417721912435065
AEROUSDT,4,4,876830.41275,long,-1.0492023305204439
AEROUSDT,4,4,876830.41275,short,1.95323214614676
AKTUSDT,3,3,221962.2672,long,-1.084028030386341
AKTUSDT,3,3,221962.2672,short,1.9870063130518332
AKTUSDT,3,3,221962.2672,short,1.977775289194584
AKTUSDT,3,3,221962.2672,short,1.9873170331794512
AKTUSDT,3,3,221962.2672,long,-1.0419307953382144
AKTUSDT,3,3,221962.2672,short,-1.0492229795636119
AKTUSDT,3,3,221962.2672,long,-1.0496164234323766
AKTUSDT,3,3,221962.2672,long,-1.0322996253176715
AKTUSDT,3,3,221962.2672,long,1.980617016467549
AKTUSDT,3,3,221962.2672,long,-1.0653984997404202
AKTUSDT,3,3,221962.2672,short,-1.0457780730960426
AKTUSDT,3,3,221962.2672,long,-1.0473995854752758
AKTUSDT,3,3,221962.2672,long,-1.0611743375464424
AKTUSDT,3,3,221962.2672,long,-1.0576498111157437
AKTUSDT,3,3,221962.2672,short,1.9756198755198144
AKTUSDT,3,3,221962.2672,short,-1.049195917261331
AKTUSDT,3,3,221962.2672,long,-1.0441017685123428
AKTUSDT,3,3,221962.2672,long,-1.1187986786035495
AKTUSDT,3,3,221962.2672,short,1.9818498115698255
AKTUSDT,3,3,221962.2672,long,-1.1999081673203005
AKTUSDT,3,3,221962.2672,long,-1.0844782245694125
AKTUSDT,3,3,221962.2672,long,-1.260920850550839
AKTUSDT,3,3,221962.2672,long,-1.0851363238227592
AKTUSDT,3,3,221962.2672,short,1.9829458313112684
AKTUSDT,3,3,221962.2672,short,-1.0827916666315593
AKTUSDT,3,3,221962.2672,long,-1.0893292613365813
AKTUSDT,3,3,221962.2672,long,-1.1313899191472425
AKTUSDT,3,3,221962.2672,short,-1.0958289569677953
AKTUSDT,3,3,221962.2672,long,1.937065591397848
AKTUSDT,3,3,221962.2672,short,-1.0759774730283842
AKTUSDT,3,3,221962.2672,long,-1.0917118569929751
AKTUSDT,3,3,221962.2672,short,1.9502597213666306
AKTUSDT,3,3,221962.2672,short,-1.1086917669054857
AKTUSDT,3,3,221962.2672,long,-1.095974578637494
AKTUSDT,3,3,221962.2672,long,1.9672785986809025
AKTUSDT,3,3,221962.2672,short,1.9801914454419764
AKTUSDT,3,3,221962.2672,long,-1.0627553815009165
AKTUSDT,3,3,221962.2672,long,1.9766159986057856
AKTUSDT,3,3,221962.2672,short,-1.0810791998372196
AKTUSDT,3,3,221962.2672,short,-1.033180357627877
AKTUSDT,3,3,221962.2672,long,-1.0320133516430803
AKTUSDT,3,3,221962.2672,long,1.9866399260085736
AKTUSDT,4,3,221962.2672,long,-1.084028030386341
AKTUSDT,4,3,221962.2672,short,1.987317033179451
AKTUSDT,4,3,221962.2672,long,-1.0473995854752758
AKTUSDT,4,3,221962.2672,long,-1.0611743375464424
AKTUSDT,4,3,221962.2672,short,1.9756198755198144
AKTUSDT,4,3,221962.2672,short,1.9932987034636045
AKTUSDT,4,3,221962.2672,short,-1.0491959172613312
AKTUSDT,4,3,221962.2672,long,-1.0893292613365813
AKTUSDT,4,3,221962.2672,short,1.9502597213666304
AKTUSDT,4,3,221962.2672,long,1.9672785986809025
AKTUSDT,4,3,221962.2672,short,1.9801914454419762
AKTUSDT,4,3,221962.2672,short,-1.033180357627877
ALCHUSDT,3,2,112796.16169000001,short,-1.1232929772495606
ALCHUSDT,3,2,112796.16169000001,long,-1.1228444634710468
ALCHUSDT,3,2,112796.16169000001,short,-1.0354717873407857
ALCHUSDT,3,2,112796.16169000001,short,1.9611768304734518
ALCHUSDT,3,2,112796.16169000001,short,1.976218096034319
ALCHUSDT,3,2,112796.16169000001,long,1.9821603738823081
ALCHUSDT,3,2,112796.16169000001,short,-1.0944244794861286
ALCHUSDT,3,2,112796.16169000001,long,1.9755317730087856
ALCHUSDT,3,2,112796.16169000001,short,-1.0250383094154618
ALCHUSDT,3,2,112796.16169000001,long,1.976892726328937
ALCHUSDT,3,2,112796.16169000001,short,-1.0864580443536094
ALCHUSDT,3,2,112796.16169000001,short,1.9666345722488354
ALCHUSDT,3,2,112796.16169000001,short,-1.033776740421526
ALCHUSDT,3,2,112796.16169000001,short,-1.0293997813171436
ALCHUSDT,3,2,112796.16169000001,long,-1.0653943292580634
ALCHUSDT,3,2,112796.16169000001,long,-1.0786427832286543
ALCHUSDT,3,2,112796.16169000001,long,1.9678839256556533
ALCHUSDT,3,2,112796.16169000001,short,1.9923783721853057
ALCHUSDT,3,2,112796.16169000001,long,-1.0435374742858599
