entry_time,rows,unique_symbols,unique_signal_times,duplicate_rows,expected_signal_time,timing_ok
2026-07-28 16:00:00+00:00,9,9,1,0,2026-07-28 12:00:00+00:00,True
2026-07-31 04:00:00+00:00,9,9,1,0,2026-07-31 00:00:00+00:00,True
2026-08-13 20:00:00+00:00,9,9,1,0,2026-08-13 16:00:00+00:00,True
2025-12-16 04:00:00+00:00,8,8,1,0,2025-12-16 00:00:00+00:00,True
2025-12-23 08:00:00+00:00,8,8,1,0,2025-12-23 04:00:00+00:00,True
2026-01-19 00:00:00+00:00,8,8,1,0,2026-01-18 20:00:00+00:00,True
2026-01-20 20:00:00+00:00,8,8,1,0,2026-01-20 16:00:00+00:00,True
2026-02-03 20:00:00+00:00,8,8,1,0,2026-02-03 16:00:00+00:00,True
2026-03-06 16:00:00+00:00,8,8,1,0,2026-03-06 12:00:00+00:00,True
2026-03-18 12:00:00+00:00,8,8,1,0,2026-03-18 08:00:00+00:00,True
2026-03-27 20:00:00+00:00,8,8,1,0,2026-03-27 16:00:00+00:00,True
2026-04-02 12:00:00+00:00,8,8,1,0,2026-04-02 08:00:00+00:00,True
2026-04-03 16:00:00+00:00,8,8,1,0,2026-04-03 12:00:00+00:00,True
2026-06-04 00:00:00+00:00,8,8,1,0,2026-06-03 20:00:00+00:00,True
2026-06-28 20:00:00+00:00,8,8,1,0,2026-06-28 16:00:00+00:00,True
2026-07-18 08:00:00+00:00,8,8,1,0,2026-07-18 04:00:00+00:00,True
2026-07-18 12:00:00+00:00,8,8,1,0,2026-07-18 08:00:00+00:00,True
2026-07-19 20:00:00+00:00,8,8,1,0,2026-07-19 16:00:00+00:00,True
2026-07-25 08:00:00+00:00,8,8,1,0,2026-07-25 04:00:00+00:00,True
2026-08-03 08:00:00+00:00,8,8,1,0,2026-08-03 04:00:00+00:00,True
2026-08-12 16:00:00+00:00,8,8,1,0,2026-08-12 12:00:00+00:00,True
2025-12-07 16:00:00+00:00,7,7,1,0,2025-12-07 12:00:00+00:00,True
2025-12-16 08:00:00+00:00,7,7,1,0,2025-12-16 04:00:00+00:00,True
2025-12-24 04:00:00+00:00,7,7,1,0,2025-12-24 00:00:00+00:00,True
2026-01-22 16:00:00+00:00,7,7,1,0,2026-01-22 12:00:00+00:00,True
2026-01-29 20:00:00+00:00,7,7,1,0,2026-01-29 16:00:00+00:00,True
2026-02-11 08:00:00+00:00,7,7,1,0,2026-02-11 04:00:00+00:00,True
2026-03-07 08:00:00+00:00,7,7,1,0,2026-03-07 04:00:00+00:00,True
2026-03-09 00:00:00+00:00,7,7,1,0,2026-03-08 20:00:00+00:00,True
2026-03-19 16:00:00+00:00,7,7,1,0,2026-03-19 12:00:00+00:00,True
2026-03-28 00:00:00+00:00,7,7,1,0,2026-03-27 20:00:00+00:00,True
2026-03-29 20:00:00+00:00,7,7,1,0,2026-03-29 16:00:00+00:00,True
2026-03-31 12:00:00+00:00,7,7,1,0,2026-03-31 08:00:00+00:00,True
2026-04-07 16:00:00+00:00,7,7,1,0,2026-04-07 12:00:00+00:00,True
2026-04-29 16:00:00+00:00,7,7,1,0,2026-04-29 12:00:00+00:00,True
2026-06-02 12:00:00+00:00,7,7,1,0,2026-06-02 08:00:00+00:00,True
2026-06-23 12:00:00+00:00,7,7,1,0,2026-06-23 08:00:00+00:00,True
2026-06-26 04:00:00+00:00,7,7,1,0,2026-06-26 00:00:00+00:00,True
2026-06-30 04:00:00+00:00,7,7,1,0,2026-06-30 00:00:00+00:00,True
2026-07-07 20:00:00+00:00,7,7,1,0,2026-07-07 16:00:00+00:00,True
2026-07-20 08:00:00+00:00,7,7,1,0,2026-07-20 04:00:00+00:00,True
2026-07-23 20:00:00+00:00,7,7,1,0,2026-07-23 16:00:00+00:00,True
2026-07-28 12:00:00+00:00,7,7,1,0,2026-07-28 08:00:00+00:00,True
2026-08-18 00:00:00+00:00,7,7,1,0,2026-08-17 20:00:00+00:00,True
2025-12-08 20:00:00+00:00,6,6,1,0,2025-12-08 16:00:00+00:00,True
2025-12-09 08:00:00+00:00,6,6,1,0,2025-12-09 04:00:00+00:00,True
2025-12-11 16:00:00+00:00,6,6,1,0,2025-12-11 12:00:00+00:00,True
2025-12-17 12:00:00+00:00,6,6,1,0,2025-12-17 08:00:00+00:00,True
2025-12-18 00:00:00+00:00,6,6,1,0,2025-12-17 20:00:00+00:00,True
2026-01-20 12:00:00+00:00,6,6,1,0,2026-01-20 08:00:00+00:00,True
2026-01-25 16:00:00+00:00,6,6,1,0,2026-01-25 12:00:00+00:00,True
2026-02-18 20:00:00+00:00,6,6,1,0,2026-02-18 16:00:00+00:00,True
2026-02-19 16:00:00+00:00,6,6,1,0,2026-02-19 12:00:00+00:00,True
2026-02-22 16:00:00+00:00,6,6,1,0,2026-02-22 12:00:00+00:00,True
2026-03-01 20:00:00+00:00,6,6,1,0,2026-03-01 16:00:00+00:00,True
2026-03-07 16:00:00+00:00,6,6,1,0,2026-03-07 12:00:00+00:00,True
2026-03-08 00:00:00+00:00,6,6,1,0,2026-03-07 20:00:00+00:00,True
2026-03-19 08:00:00+00:00,6,6,1,0,2026-03-19 04:00:00+00:00,True
2026-03-20 20:00:00+00:00,6,6,1,0,2026-03-20 16:00:00+00:00,True
2026-03-22 12:00:00+00:00,6,6,1,0,2026-03-22 08:00:00+00:00,True
2026-03-28 16:00:00+00:00,6,6,1,0,2026-03-28 12:00:00+00:00,True
2026-04-05 16:00:00+00:00,6,6,1,0,2026-04-05 12:00:00+00:00,True
2026-04-27 16:00:00+00:00,6,6,1,0,2026-04-27 12:00:00+00:00,True
2026-05-22 20:00:00+00:00,6,6,1,0,2026-05-22 16:00:00+00:00,True
2026-05-23 12:00:00+00:00,6,6,1,0,2026-05-23 08:00:00+00:00,True
2026-05-29 12:00:00+00:00,6,6,1,0,2026-05-29 08:00:00+00:00,True
2026-06-19 08:00:00+00:00,6,6,1,0,2026-06-19 04:00:00+00:00,True
2026-06-22 00:00:00+00:00,6,6,1,0,2026-06-21 20:00:00+00:00,True
2026-06-24 12:00:00+00:00,6,6,1,0,2026-06-24 08:00:00+00:00,True
2026-07-08 16:00:00+00:00,6,6,1,0,2026-07-08 12:00:00+00:00,True
2026-07-16 16:00:00+00:00,6,6,1,0,2026-07-16 12:00:00+00:00,True
2026-07-17 00:00:00+00:00,6,6,1,0,2026-07-16 20:00:00+00:00,True
2026-07-23 16:00:00+00:00,6,6,1,0,2026-07-23 12:00:00+00:00,True
2026-07-24 20:00:00+00:00,6,6,1,0,2026-07-24 16:00:00+00:00,True
2026-07-25 12:00:00+00:00,6,6,1,0,2026-07-25 08:00:00+00:00,True
2026-07-30 08:00:00+00:00,6,6,1,0,2026-07-30 04:00:00+00:00,True
2026-07-31 16:00:00+00:00,6,6,1,0,2026-07-31 12:00:00+00:00,True
2026-08-03 12:00:00+00:00,6,6,1,0,2026-08-03 08:00:00+00:00,True
2026-08-11 12:00:00+00:00,6,6,1,0,2026-08-11 08:00:00+00:00,True
2026-08-14 04:00:00+00:00,6,6,1,0,2026-08-14 00:00:00+00:00,True
2025-12-24 08:00:00+00:00,5,5,1,0,2025-12-24 04:00:00+00:00,True
2026-01-20 16:00:00+00:00,5,5,1,0,2026-01-20 12:00:00+00:00,True
2026-01-25 04:00:00+00:00,5,5,1,0,2026-01-25 00:00:00+00:00,True
2026-02-24 04:00:00+00:00,5,5,1,0,2026-02-24 00:00:00+00:00,True
2026-03-07 04:00:00+00:00,5,5,1,0,2026-03-07 00:00:00+00:00,True
2026-03-07 20:00:00+00:00,5,5,1,0,2026-03-07 16:00:00+00:00,True
2026-03-08 16:00:00+00:00,5,5,1,0,2026-03-08 12:00:00+00:00,True
2026-03-22 04:00:00+00:00,5,5,1,0,2026-03-22 00:00:00+00:00,True
2026-03-27 16:00:00+00:00,5,5,1,0,2026-03-27 12:00:00+00:00,True
2026-04-05 04:00:00+00:00,5,5,1,0,2026-04-05 00:00:00+00:00,True
2026-04-12 04:00:00+00:00,5,5,1,0,2026-04-12 00:00:00+00:00,True
2026-04-13 00:00:00+00:00,5,5,1,0,2026-04-12 20:00:00+00:00,True
2026-04-27 08:00:00+00:00,5,5,1,0,2026-04-27 04:00:00+00:00,True
2026-04-29 20:00:00+00:00,5,5,1,0,2026-04-29 16:00:00+00:00,True
2026-05-13 16:00:00+00:00,5,5,1,0,2026-05-13 12:00:00+00:00,True
2026-05-27 00:00:00+00:00,5,5,1,0,2026-05-26 20:00:00+00:00,True
2026-06-01 12:00:00+00:00,5,5,1,0,2026-06-01 08:00:00+00:00,True
2026-06-02 08:00:00+00:00,5,5,1,0,2026-06-02 04:00:00+00:00,True
2026-06-02 20:00:00+00:00,5,5,1,0,2026-06-02 16:00:00+00:00,True
2026-06-03 20:00:00+00:00,5,5,1,0,2026-06-03 16:00:00+00:00,True
2026-06-05 00:00:00+00:00,5,5,1,0,2026-06-04 20:00:00+00:00,True
2026-06-05 12:00:00+00:00,5,5,1,0,2026-06-05 08:00:00+00:00,True
2026-06-06 08:00:00+00:00,5,5,1,0,2026-06-06 04:00:00+00:00,True
