symbol,variant,candles,trades,profit_factor,expectancy_r,win_rate,total_return_pct,max_drawdown_pct,longs,shorts,filled,expired
ATUSDT,1h_d4_e24,2880,8,1.0915039972161509,0.07947387905012282,37.5,0.9345477087041587,-9.014210442611443,5,3,8,7
ATUSDT,15m_d3_e24,11520,50,0.8383033015013487,-0.10561938087945738,34.0,-11.966535483515607,-20.99297801471634,29,21,50,23
ATUSDT,15m_d4_e24,11520,23,1.0730908537563746,0.07108615936342327,39.130434782608695,2.2458997353929977,-16.924001997151546,15,8,23,17
ATUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
ATUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
HYPERUSDT,1h_d3_e24,2880,22,1.4582491785666338,0.30562609456584644,45.45454545454545,13.195854975199929,-6.5875427860273215,9,13,22,19
HYPERUSDT,1h_d4_e24,2880,16,1.082869573145751,0.07669552788399589,37.5,1.787177587290234,-7.539233236437945,6,10,16,15
HYPERUSDT,15m_d3_e24,11520,50,1.7468097308644495,0.45781980068981953,52.0,54.014162611483044,-20.43975615177942,25,25,50,52
HYPERUSDT,15m_d4_e24,11520,18,0.644614346184376,-0.3541077319108551,27.77777777777778,-10.55928525869384,-20.10232817577811,4,14,18,35
HYPERUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
HYPERUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
XVSUSDT,1h_d3_e24,2880,23,0.9127562111305815,-0.038980329743904515,34.78260869565217,-2.7398090710414325,-21.49008331625113,12,11,23,20
XVSUSDT,1h_d4_e24,2880,6,0.3326533152812895,-0.6110862501222252,16.666666666666668,-7.262191887226899,-9.676478335800208,3,3,6,13
XVSUSDT,15m_d3_e24,11520,36,0.569396308395388,-0.36356771046902714,27.77777777777778,-25.304434682729383,-32.68999019939032,22,14,36,38
XVSUSDT,15m_d4_e24,11520,18,0.7615414642406183,-0.15189323361751567,33.333333333333336,-6.932094133634081,-20.654731363754234,10,8,18,19
XVSUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
XVSUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
DIAUSDT,1h_d3_e24,2880,27,0.8987358930042648,-0.05743973736138006,33.333333333333336,-4.111516134457505,-14.220954004590554,16,11,27,14
DIAUSDT,1h_d4_e24,2880,12,1.287704136980438,0.2012012155180374,41.666666666666664,4.3847138860548585,-7.386030729986694,6,6,12,6
DIAUSDT,15m_d3_e24,11520,24,0.6780564300165589,-0.24233708650373495,29.166666666666668,-11.858092386520703,-14.087952457564676,12,12,24,23
DIAUSDT,15m_d4_e24,11520,16,0.24127394568170452,-0.7902513380895202,12.5,-22.768147705054275,-24.415397002774835,7,9,16,12
DIAUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
DIAUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
ENSUSDT,1h_d3_e24,2880,31,1.8280185447964494,0.4744552748727837,51.61290322580645,32.10071996677924,-8.123013006271435,25,6,31,23
ENSUSDT,1h_d4_e24,2880,18,0.6849666469182438,-0.2286488488971744,27.77777777777778,-8.532521874188536,-12.922752327864892,6,12,18,13
ENSUSDT,15m_d3_e24,11520,82,0.8172693011167206,-0.11543806866091968,34.146341463414636,-18.290895521477445,-37.853950028106425,37,45,83,64
ENSUSDT,15m_d4_e24,11520,32,0.6461839655899905,-0.27588884268119235,28.125,-15.785429334228562,-22.61250702358589,17,15,33,41
ENSUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
ENSUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
NAORISUSDT,1h_d3_e24,2880,40,1.3158937832344706,0.23305996000256307,42.5,18.32054645416936,-15.581735648353398,21,19,40,10
NAORISUSDT,1h_d4_e24,2880,21,0.9162444677105751,-0.041268834525919645,33.333333333333336,-2.555091693057898,-10.533999028874582,8,13,21,8
NAORISUSDT,15m_d3_e24,11520,82,1.1050826766675617,0.11343617905639837,40.24390243902439,13.865799631621268,-35.03419330978767,43,39,82,45
NAORISUSDT,15m_d4_e24,11520,40,1.135736801981658,0.11311209352218002,40.0,7.510577968979826,-9.33638881220651,18,22,40,22
NAORISUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
NAORISUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
