symbol,period,d,engine,cost_mult,candles,trades,pf,expectancy_r,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
XRPUSDT,full,3,causal,1.0,17520,292,1.135151209777058,0.11103658246422647,67.76103997395421,-32.954848030593624,170,1.050733105598088,0.049178989902973584,122,1.2555626925027008,0.1972315884922018
XRPUSDT,full,4,causal,1.0,17520,133,0.9702784204263166,0.0010691147678822705,-5.294608616917495,-24.882369852947953,77,0.8148543460520138,-0.11160742220806023,56,1.2232061222297108,0.15599935310980337
XRPUSDT,first_half,3,causal,1.0,8760,143,1.0916654165380137,0.08095221662709369,18.36055143877271,-30.23716910530134,90,1.0772258376195694,0.060938646927017594,53,1.1156966744393415,0.1149375236649587
XRPUSDT,first_half,4,causal,1.0,8760,59,0.8904940256952861,-0.05520560347785924,-8.586253778551733,-23.429806559850093,39,0.8632863913022025,-0.07524043732667385,20,0.9467291056664068,-0.016137677472670607
XRPUSDT,second_half,3,causal,1.0,8760,148,1.148494568087553,0.1274599135210175,36.33187485311726,-32.95484803059364,80,1.0311906094449461,0.03594937575092404,68,1.2998538758742204,0.2351193697211274
XRPUSDT,second_half,4,causal,1.0,8760,74,1.0330051635998614,0.04593679553137891,3.6008207711565765,-23.595467449113304,38,0.770341295968,-0.14893143300737785,36,1.3905625983099303,0.2516310367667333
BNBUSDT,full,3,causal,1.0,17520,268,1.029577455233721,0.04614882151880292,13.325513645114228,-37.96756550537263,143,0.9231257608599711,-0.023123465903148406,125,1.1599430114621259,0.12539631832951523
BNBUSDT,full,4,causal,1.0,17520,107,0.9819945690126142,0.006520733583677552,-3.339452435520196,-38.11314834546217,61,0.960356114265689,0.012570974630128092,46,1.0129619920263533,-0.0015024121518329605
BNBUSDT,first_half,3,causal,1.0,8760,123,1.2204372686529215,0.15642134579790143,38.679909686300064,-21.2994812099039,72,1.166400771266933,0.13915449487303666,51,1.3009054561859406,0.1807980765153576
BNBUSDT,first_half,4,causal,1.0,8760,48,1.604497060729004,0.39334133896405593,42.344149116959585,-11.94401957268841,31,1.7938667558853196,0.5351879554779699,17,1.2894204808554586,0.1346798617916247
BNBUSDT,second_half,3,causal,1.0,8760,143,0.9287264858101602,-0.03226794679285864,-14.464061588444366,-37.96756550537256,69,0.7782713764794593,-0.160408033047608,74,1.0846765325819105,0.08721402552575903
BNBUSDT,second_half,4,causal,1.0,8760,58,0.6209146954457944,-0.2946759611243291,-30.578349260552372,-32.77677048896051,29,0.42306943734175034,-0.5080185219230743,29,0.8675449014558898,-0.08133340032558396
DOGEUSDT,full,3,causal,1.0,17520,283,1.015119815014472,0.030861696449717174,5.3732310049407594,-33.900852373394926,174,0.9822499669599366,0.01707759055587077,109,1.069043544299505,0.05286568200503166
DOGEUSDT,full,4,causal,1.0,17520,131,1.040817665852049,0.04920949466145994,7.421785395707792,-24.6915866662651,72,1.0394708077845365,0.05788892278772674,59,1.0424436844874463,0.03861765016838862
DOGEUSDT,first_half,3,causal,1.0,8760,151,0.9298992941894417,-0.027375923008429826,-13.55110621495832,-30.929927815558163,92,0.9112976713850417,-0.048101559057873625,59,0.959126835413068,0.004942017950025016
DOGEUSDT,first_half,4,causal,1.0,8760,64,0.9941257704649558,0.01722535017503668,-0.5222914766020215,-21.39495057454362,37,1.084143595565754,0.0835144941947319,27,0.8818701884825587,-0.07361532866676788
DOGEUSDT,second_half,3,causal,1.0,8760,132,1.1167681405260812,0.09748200355714295,21.890780079795192,-22.61012910392863,82,1.0638900055689389,0.09020541695177918,50,1.2081527014870586,0.10941560558993953
DOGEUSDT,second_half,4,causal,1.0,8760,67,1.0854979213588938,0.07976151327535684,7.985785951675095,-16.506103281677063,35,0.9954788465868076,0.03079903301460707,32,1.1908659877113894,0.13331422606055188
