entry_time,exit_time,entry,exit,net_trade_return
2023-06-03 15:00:00+00:00,2023-06-05 12:00:00+00:00,27283.0,26680.0,-0.02410167503573657
2023-06-06 22:00:00+00:00,2023-06-07 09:00:00+00:00,27132.0,26472.0,-0.02632551968155683
2023-06-17 05:00:00+00:00,2023-07-24 09:00:00+00:00,26688.5,29164.0,0.09075530659272713
2023-08-01 23:00:00+00:00,2023-08-16 23:00:00+00:00,29690.5,28724.5,-0.034535659554402964
2023-08-29 14:00:00+00:00,2023-08-31 16:00:00+00:00,27490.5,26232.5,-0.04776126298175731
2023-09-14 00:00:00+00:00,2023-10-11 17:00:00+00:00,26521.5,26616.7,0.001589540561431237
2023-10-15 20:00:00+00:00,2024-01-12 22:00:00+00:00,27183.4,42507.2,0.5617190344107064
2024-01-27 21:00:00+00:00,2024-03-19 14:00:00+00:00,42126.0,62912.3,0.49143160993210855
2024-03-19 16:00:00+00:00,2024-03-19 22:00:00+00:00,64991.3,62653.9,-0.037964813751994564
2024-03-20 14:00:00+00:00,2024-03-22 13:00:00+00:00,64212.9,63053.4,-0.020057119363866116
2024-03-23 07:00:00+00:00,2024-04-02 11:00:00+00:00,64565.5,65661.8,0.01497965631800269
2024-04-04 13:00:00+00:00,2024-04-12 18:00:00+00:00,67208.5,66473.0,-0.012943556246605701
2024-04-22 05:00:00+00:00,2024-04-24 15:00:00+00:00,66328.2,64579.2,-0.028368874777244035
2024-05-04 10:00:00+00:00,2024-05-07 23:00:00+00:00,64371.9,62293.4,-0.03428893352534257
2024-05-13 09:00:00+00:00,2024-05-14 12:00:00+00:00,63016.8,61528.9,-0.02561116400705843
2024-05-15 12:00:00+00:00,2024-06-11 10:00:00+00:00,63718.9,66952.6,0.048749463659918835
2024-06-12 12:00:00+00:00,2024-06-13 15:00:00+00:00,69306.2,66447.4,-0.04324883488057352
2024-07-14 21:00:00+00:00,2024-08-01 15:00:00+00:00,61226.1,62864.5,0.024759829549816148
2024-08-01 21:00:00+00:00,2024-08-02 14:00:00+00:00,64867.5,63122.6,-0.028899448876556044
2024-08-08 22:00:00+00:00,2024-08-09 10:00:00+00:00,62289.6,60560.6,-0.029757442654953614
2024-08-20 00:00:00+00:00,2024-08-20 15:00:00+00:00,60434.0,58788.7,-0.029224741039812097
2024-08-21 18:00:00+00:00,2024-08-27 22:00:00+00:00,60716.9,59452.4,-0.022826162073491862
2024-09-12 03:00:00+00:00,2024-10-01 20:00:00+00:00,58192.6,60791.1,0.04265344390867565
2024-10-04 16:00:00+00:00,2024-10-09 20:00:00+00:00,62218.1,60400.0,-0.031221400203477745
2024-10-11 15:00:00+00:00,2024-12-19 20:00:00+00:00,62238.3,96396.1,0.5468228309577865
2024-12-21 05:00:00+00:00,2024-12-22 04:00:00+00:00,98629.9,96066.9,-0.027986034660888892
2024-12-24 15:00:00+00:00,2024-12-26 08:00:00+00:00,98247.0,95836.7,-0.026533064622838443
2025-01-02 09:00:00+00:00,2025-01-08 11:00:00+00:00,96732.4,95088.0,-0.018999474839867414
2025-01-14 09:00:00+00:00,2025-01-27 10:00:00+00:00,97107.1,98364.6,0.010949619543782154
2025-01-27 14:00:00+00:00,2025-02-02 03:00:00+00:00,101878.0,99160.7,-0.028672097999568158
2025-02-03 19:00:00+00:00,2025-02-04 05:00:00+00:00,101825.0,98818.5,-0.031526147802602544
2025-02-20 17:00:00+00:00,2025-02-21 19:00:00+00:00,97915.3,95245.0,-0.02927152957709367
2025-03-02 17:00:00+00:00,2025-03-03 14:00:00+00:00,94039.9,89220.0,-0.05325377632260342
2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,92232.1,90062.7,-0.025521095150170203
2025-03-19 23:00:00+00:00,2025-03-20 16:00:00+00:00,86799.1,83770.1,-0.036896675195940976
2025-03-23 23:00:00+00:00,2025-03-28 14:00:00+00:00,86044.1,84133.9,-0.024200243828455537
2025-04-02 14:00:00+00:00,2025-04-02 22:00:00+00:00,85824.8,82784.3,-0.03742682301619116
2025-04-11 17:00:00+00:00,2025-06-05 19:00:00+00:00,83880.0,101876.3,0.21254816404387222
2025-06-06 14:00:00+00:00,2025-06-20 17:00:00+00:00,104716.2,103224.5,-0.01624516932432607
2025-06-23 22:00:00+00:00,2025-08-01 19:00:00+00:00,105495.5,113278.1,0.07177186704646177
2025-08-06 17:00:00+00:00,2025-08-19 14:00:00+00:00,115452.0,113841.6,-0.015948653986072037
2025-08-22 15:00:00+00:00,2025-08-24 19:00:00+00:00,116306.3,112563.1,-0.03418398315482474
2025-09-05 07:00:00+00:00,2025-09-06 16:00:00+00:00,112898.4,110214.9,-0.025769158818902627
2025-09-08 14:00:00+00:00,2025-09-23 02:00:00+00:00,112585.0,111764.0,-0.009292268064129304
2025-09-29 13:00:00+00:00,2025-10-10 20:00:00+00:00,113156.1,114193.8,0.007170517541696732
2025-10-21 15:00:00+00:00,2025-10-21 20:00:00+00:00,113348.5,110737.0,-0.025039563823076594
2025-10-26 09:00:00+00:00,2025-10-29 23:00:00+00:00,112474.4,109984.1,-0.024141038316274566
2025-12-03 04:00:00+00:00,2025-12-05 09:00:00+00:00,93325.9,91096.1,-0.025892617162009524
2025-12-09 15:00:00+00:00,2025-12-11 02:00:00+00:00,92664.1,90049.4,-0.03021696859949008
2025-12-11 21:00:00+00:00,2025-12-12 15:00:00+00:00,92819.0,89886.6,-0.03359266960428353
2025-12-22 12:00:00+00:00,2025-12-22 19:00:00+00:00,90165.9,88020.1,-0.025798353923157102
2025-12-29 02:00:00+00:00,2025-12-29 20:00:00+00:00,89126.0,87183.3,-0.0237972308866099
2025-12-30 15:00:00+00:00,2026-01-20 16:00:00+00:00,88971.6,90144.0,0.011177238579501704
2026-03-04 07:00:00+00:00,2026-03-06 17:00:00+00:00,69457.4,67935.0,-0.02391847089007071
2026-03-10 01:00:00+00:00,2026-03-21 23:00:00+00:00,69211.9,68885.1,-0.006721731378563354
2026-03-23 12:00:00+00:00,2026-03-26 16:00:00+00:00,70705.6,68900.0,-0.027536874024122637
2026-04-05 23:00:00+00:00,2026-05-18 02:00:00+00:00,68988.0,76812.6,0.11141972516959475
2026-07-04 15:00:00+00:00,2026-07-31 14:00:00+00:00,62900.7,62675.0,-0.005588195361895807
2026-08-04 04:00:00+00:00,2026-08-14 09:00:00+00:00,64003.6,62782.9,-0.0210723646794867
2026-08-17 14:00:00+00:00,2026-09-23 17:00:00+00:00,63867.1,84031.8,0.3137290686441063
