candidate,symbol,d,entry_time,exit_time,side,r_multiple,pnl
BTC_D3,BTCUSDT,3,2024-01-08 07:00:00+00:00,2024-01-08 12:00:00+00:00,long,1.9799378552711147,33.92873921453248
BTC_D3,BTCUSDT,3,2024-01-16 01:00:00+00:00,2024-01-16 16:00:00+00:00,short,-1.0685245427929164,-19.035593234879286
BTC_D3,BTCUSDT,3,2024-01-17 01:00:00+00:00,2024-01-17 16:00:00+00:00,short,1.9700465523475994,34.34604304703861
BTC_D3,BTCUSDT,3,2024-01-17 22:00:00+00:00,2024-01-18 16:00:00+00:00,long,-1.1455968872067461,-20.759416753663004
BTC_D3,BTCUSDT,3,2024-01-21 07:00:00+00:00,2024-01-21 09:00:00+00:00,short,-1.5434817339080067,-27.328671746535846
BTC_D3,BTCUSDT,3,2024-01-21 20:00:00+00:00,2024-01-22 00:00:00+00:00,long,-1.2522610613817866,-21.48790661211973
BTC_D3,BTCUSDT,3,2024-01-22 14:00:00+00:00,2024-01-22 15:00:00+00:00,long,-1.085299228447198,-18.156544478613114
BTC_D3,BTCUSDT,3,2024-01-24 05:00:00+00:00,2024-01-24 10:00:00+00:00,short,-1.0922671047348724,-17.876477838835246
BTC_D3,BTCUSDT,3,2024-01-24 15:00:00+00:00,2024-01-26 10:00:00+00:00,short,-1.0750385637482804,-17.210150623915116
BTC_D3,BTCUSDT,3,2024-01-29 07:00:00+00:00,2024-01-29 14:00:00+00:00,long,-1.2239004803760773,-19.17199118754414
BTC_D3,BTCUSDT,3,2024-02-02 04:00:00+00:00,2024-02-02 16:00:00+00:00,short,-1.1132999630435312,-17.01258757780949
BTC_D3,BTCUSDT,3,2024-02-05 16:00:00+00:00,2024-02-05 20:00:00+00:00,long,-1.2611119259038261,-18.842239944747927
BTC_D3,BTCUSDT,3,2024-02-07 03:00:00+00:00,2024-02-07 17:00:00+00:00,long,1.9528564590327269,28.441652926911118
BTC_D3,BTCUSDT,3,2024-02-12 07:00:00+00:00,2024-02-12 15:00:00+00:00,short,-1.0831777801299396,-16.391687993700007
BTC_D3,BTCUSDT,3,2024-02-16 07:00:00+00:00,2024-02-17 13:00:00+00:00,long,-1.1064335186967298,-16.380889937100605
BTC_D3,BTCUSDT,3,2024-02-18 06:00:00+00:00,2024-02-19 00:00:00+00:00,long,1.9634911889946036,28.426463841739324
BTC_D3,BTCUSDT,3,2024-02-20 05:00:00+00:00,2024-02-20 11:00:00+00:00,short,-1.2004558342823752,-18.06210594951394
BTC_D3,BTCUSDT,3,2024-02-20 20:00:00+00:00,2024-02-26 16:00:00+00:00,short,-1.061933715292222,-15.594281484382854
BTC_D3,BTCUSDT,3,2024-03-08 06:00:00+00:00,2024-03-08 14:00:00+00:00,short,-1.1510331986460147,-16.543698633863958
BTC_D3,BTCUSDT,3,2024-03-18 00:00:00+00:00,2024-03-19 01:00:00+00:00,long,-1.0713567114565188,-15.044031460314597
BTC_D3,BTCUSDT,3,2024-03-27 13:00:00+00:00,2024-03-27 14:00:00+00:00,long,-1.1497733200155311,-15.799215923396563
BTC_D3,BTCUSDT,3,2024-03-29 13:00:00+00:00,2024-03-29 15:00:00+00:00,short,1.9331105383304492,25.952343157194512
BTC_D3,BTCUSDT,3,2024-03-30 20:00:00+00:00,2024-03-31 05:00:00+00:00,short,-1.1771584540417592,-16.41455614588936
BTC_D3,BTCUSDT,3,2024-04-01 03:00:00+00:00,2024-04-01 05:00:00+00:00,long,-1.2517629688761782,-17.043915223272776
BTC_D3,BTCUSDT,3,2024-04-03 11:00:00+00:00,2024-04-04 16:00:00+00:00,long,1.9835444945502423,26.331652952244333
BTC_D3,BTCUSDT,3,2024-04-11 12:00:00+00:00,2024-04-12 14:00:00+00:00,short,1.9693238773492745,27.179984601276907
BTC_D3,BTCUSDT,3,2024-04-19 17:00:00+00:00,2024-04-19 23:00:00+00:00,short,1.973624859145252,28.312207255795407
BTC_D3,BTCUSDT,3,2024-04-20 13:00:00+00:00,2024-04-20 15:00:00+00:00,short,-1.2337793524184995,-18.397534376888437
BTC_D3,BTCUSDT,3,2024-04-20 21:00:00+00:00,2024-04-21 03:00:00+00:00,short,-1.098620379110361,-15.977869545750256
BTC_D3,BTCUSDT,3,2024-04-22 11:00:00+00:00,2024-04-24 15:00:00+00:00,long,-1.0630985438478429,-15.12153401965958
BTC_D3,BTCUSDT,3,2024-04-26 01:00:00+00:00,2024-04-26 15:00:00+00:00,short,1.9657749860304923,27.366710330604214
BTC_D3,BTCUSDT,3,2024-04-27 15:00:00+00:00,2024-04-27 17:00:00+00:00,long,1.9345658234763377,27.991083263949598
BTC_D3,BTCUSDT,3,2024-05-03 09:00:00+00:00,2024-05-03 12:00:00+00:00,short,-1.1250014504258004,-16.907359154358957
BTC_D3,BTCUSDT,3,2024-05-04 01:00:00+00:00,2024-05-04 10:00:00+00:00,long,1.9694275045712637,28.93206605350052
BTC_D3,BTCUSDT,3,2024-05-05 19:00:00+00:00,2024-05-06 08:00:00+00:00,short,-1.102522435859357,-16.834677974767374
BTC_D3,BTCUSDT,3,2024-05-07 10:00:00+00:00,2024-05-07 18:00:00+00:00,long,-1.073228392234505,-16.026031149824906
BTC_D3,BTCUSDT,3,2024-05-07 21:00:00+00:00,2024-05-08 23:00:00+00:00,short,1.9822553444506956,28.964763206781452
BTC_D3,BTCUSDT,3,2024-05-12 00:00:00+00:00,2024-05-12 10:00:00+00:00,short,-1.2088603396819997,-18.364183694894017
BTC_D3,BTCUSDT,3,2024-05-15 00:00:00+00:00,2024-05-15 09:00:00+00:00,long,1.9536132130879977,28.960432332118867
BTC_D3,BTCUSDT,3,2024-05-16 03:00:00+00:00,2024-05-16 11:00:00+00:00,short,-1.1723434609132453,-18.057892977050024
BTC_D3,BTCUSDT,3,2024-05-19 17:00:00+00:00,2024-05-20 05:00:00+00:00,short,-1.1357256833593106,-17.08368413918043
BTC_D3,BTCUSDT,3,2024-05-25 16:00:00+00:00,2024-05-25 23:00:00+00:00,short,-1.2378656980575224,-18.19713695880776
BTC_D3,BTCUSDT,3,2024-05-27 13:00:00+00:00,2024-05-27 14:00:00+00:00,short,-1.2438032055465638,-17.831747625267084
BTC_D3,BTCUSDT,3,2024-05-28 01:00:00+00:00,2024-05-28 03:00:00+00:00,long,-1.1615587003143746,-16.23839929270628
BTC_D3,BTCUSDT,3,2024-05-29 05:00:00+00:00,2024-05-29 07:00:00+00:00,long,-1.2377780111943488,-16.901942031956697
BTC_D3,BTCUSDT,3,2024-05-30 06:00:00+00:00,2024-05-30 08:00:00+00:00,long,-1.217817579657724,-16.217711353465074
BTC_D3,BTCUSDT,3,2024-05-30 10:00:00+00:00,2024-05-30 13:00:00+00:00,short,-1.1562948463291884,-15.023362242350135
BTC_D3,BTCUSDT,3,2024-05-30 19:00:00+00:00,2024-05-30 20:00:00+00:00,long,-1.1234130825720912,-14.258591364280457
BTC_D3,BTCUSDT,3,2024-05-31 11:00:00+00:00,2024-05-31 12:00:00+00:00,short,-1.2133103581216342,-15.053584260302015
BTC_D3,BTCUSDT,3,2024-05-31 23:00:00+00:00,2024-06-03 06:00:00+00:00,long,1.9725068090832634,23.879095363563934
BTC_D3,BTCUSDT,3,2024-06-03 22:00:00+00:00,2024-06-04 13:00:00+00:00,short,-1.2261845606257085,-15.429749052379101
BTC_D3,BTCUSDT,3,2024-06-05 11:00:00+00:00,2024-06-05 15:00:00+00:00,short,-1.198825044999946,-14.715517954120877
BTC_D3,BTCUSDT,3,2024-06-17 05:00:00+00:00,2024-06-17 12:00:00+00:00,short,1.9601365472370937,23.483690384640553
BTC_D3,BTCUSDT,3,2024-06-17 17:00:00+00:00,2024-06-17 18:00:00+00:00,short,-1.1482463410535482,-14.296027310590482
BTC_D3,BTCUSDT,3,2024-06-19 17:00:00+00:00,2024-06-20 05:00:00+00:00,short,-1.1758593897028697,-14.303616073353748
BTC_D3,BTCUSDT,3,2024-06-26 07:00:00+00:00,2024-06-27 06:00:00+00:00,short,1.9631942561982476,23.31945150416035
BTC_D3,BTCUSDT,3,2024-06-27 10:00:00+00:00,2024-06-27 13:00:00+00:00,short,-1.1407181363963228,-14.081834587145426
BTC_D3,BTCUSDT,3,2024-07-07 13:00:00+00:00,2024-07-07 14:00:00+00:00,long,-1.3723555035553994,-16.554825046294585
BTC_D3,BTCUSDT,3,2024-07-09 07:00:00+00:00,2024-07-09 14:00:00+00:00,long,1.9582364704893476,22.97398485778472
BTC_D3,BTCUSDT,3,2024-07-11 00:00:00+00:00,2024-07-11 01:00:00+00:00,long,1.9410270063154151,23.663946324238353
BTC_D3,BTCUSDT,3,2024-07-11 01:00:00+00:00,2024-07-11 03:00:00+00:00,short,1.9600553232297335,24.823582101508343
BTC_D3,BTCUSDT,3,2024-07-12 20:00:00+00:00,2024-07-13 09:00:00+00:00,long,1.964838771766044,25.859649943018287
BTC_D3,BTCUSDT,3,2024-07-17 18:00:00+00:00,2024-07-19 14:00:00+00:00,short,-1.0886868611220128,-14.891494440926513
BTC_D3,BTCUSDT,3,2024-07-21 21:00:00+00:00,2024-07-23 05:00:00+00:00,long,-1.0577996191674361,-14.153962045343366
BTC_D3,BTCUSDT,3,2024-07-24 18:00:00+00:00,2024-07-24 19:00:00+00:00,long,-1.2188947785195325,-15.964463322778922
BTC_D3,BTCUSDT,3,2024-07-26 12:00:00+00:00,2024-07-26 13:00:00+00:00,long,1.940574645990564,24.797054195890045
BTC_D3,BTCUSDT,3,2024-07-29 15:00:00+00:00,2024-07-29 16:00:00+00:00,long,-1.3112880167905288,-17.406224335659438
BTC_D3,BTCUSDT,3,2024-08-04 12:00:00+00:00,2024-08-04 14:00:00+00:00,long,-1.1109258858496596,-14.359848301865368
BTC_D3,BTCUSDT,3,2024-08-11 11:00:00+00:00,2024-08-11 12:00:00+00:00,long,-1.2306314704402959,-15.553731251197032
BTC_D3,BTCUSDT,3,2024-08-20 21:00:00+00:00,2024-08-21 14:00:00+00:00,long,1.9666218536858826,24.24401603392514
BTC_D3,BTCUSDT,3,2024-08-22 02:00:00+00:00,2024-08-23 14:00:00+00:00,long,1.9821950001934283,25.39712518647196
BTC_D3,BTCUSDT,3,2024-08-25 04:00:00+00:00,2024-08-25 23:00:00+00:00,short,-1.1165698069635606,-14.873345723777408
BTC_D3,BTCUSDT,3,2024-08-26 00:00:00+00:00,2024-08-26 06:00:00+00:00,long,-1.339270742857034,-17.441460284235273
BTC_D3,BTCUSDT,3,2024-09-02 08:00:00+00:00,2024-09-02 14:00:00+00:00,short,-1.0908859931777946,-13.82618731209515
BTC_D3,BTCUSDT,3,2024-09-08 12:00:00+00:00,2024-09-08 15:00:00+00:00,long,-1.224629441338367,-15.182649216987915
