candidate,freq,period,trades,pf,expectancy_r,wins,losses
ETH_D3,Q,2023Q1,27,1.176437471847371,0.11971863098963993,11,16
ETH_D3,Q,2023Q2,24,1.1833215144714655,0.12495724440102059,10,14
ETH_D3,Q,2023Q3,41,0.976390262520529,-0.01810953801855163,16,25
ETH_D3,Q,2023Q4,33,1.3833667709295627,0.2467487938491183,15,18
ETH_D3,Q,2024Q1,28,0.9490824819523644,-0.03767156692148186,10,18
ETH_D3,Q,2024Q2,29,1.8700968838735799,0.47287990571382227,15,14
ETH_D3,Q,2024Q3,38,1.4186025729818992,0.26022439078505255,17,21
ETH_D3,Q,2024Q4,36,1.2682523348688701,0.17350973530375904,15,21
ETH_D3,Q,2025Q1,32,1.0520389711532674,0.036539892914910055,12,20
ETH_D3,Q,2025Q2,47,1.0098837887355079,0.006980918052707057,17,30
ETH_D3,Q,2025Q3,41,1.2190411077379413,0.14617612731377544,17,24
ETH_D3,Q,2025Q4,41,1.1270351346760343,0.08681907367926127,16,25
ETH_D3,Q,2026Q1,37,1.0692758585766386,0.04817277856440733,14,23
ETH_D3,Q,2026Q2,43,1.099432056493564,0.0693702213001387,17,26
ETH_D3,Q,2026Q3,34,1.2059252560139633,0.13780542812155844,14,20
ETH_D3,Y,2019,44,1.189471840602547,0.1279217706172707,18,26
ETH_D3,Y,2020,130,1.3004803376954273,0.19269797591703897,55,75
ETH_D3,Y,2021,161,1.299921453610486,0.18970109227604562,67,94
ETH_D3,Y,2022,121,0.9745461747209202,-0.01826777426953266,43,78
ETH_D3,Y,2023,125,1.1560250580697227,0.10905276832484048,52,73
ETH_D3,Y,2024,131,1.3453093953328268,0.21979840238676857,57,74
ETH_D3,Y,2025,161,1.099509096221533,0.0686346767855209,62,99
ETH_D3,Y,2026,114,1.1204196777280446,0.08290084981510545,45,69
BTC_D3,M,2019-07,6,0.8787230454837153,-0.09125494539455374,2,4
BTC_D3,M,2019-08,10,0.42527360803369485,-0.5274470328065984,2,8
BTC_D3,M,2019-09,7,0.28173001619946364,-0.7093078662774949,1,6
BTC_D3,M,2019-10,11,0.9664006255947881,-0.024925870691278638,4,7
BTC_D3,M,2019-11,8,0.0,-1.1344873174640042,0,8
BTC_D3,M,2019-12,10,1.1248451522268867,0.0866964513433482,4,6
BTC_D3,M,2020-01,12,1.6706601632368197,0.39215738572480846,6,6
BTC_D3,M,2020-02,8,1.0249777716570616,0.017891721562678042,3,5
BTC_D3,M,2020-03,8,1.1166742586078564,0.07720601367891905,3,5
BTC_D3,M,2020-04,12,0.872608399949154,-0.09531609612924685,4,8
BTC_D3,M,2020-05,5,1.1757391980995866,0.11698677155078485,2,3
BTC_D3,M,2020-06,15,1.1312164035759462,0.09038813062966672,6,9
BTC_D3,M,2020-07,11,0.8485698113329371,-0.1225085971450564,4,7
