entry_time,r,side
2022-04-17 04:00:00+00:00,-1.1461815683532366,short
2022-04-19 09:00:00+00:00,1.9556212050984938,long
2022-04-19 10:00:00+00:00,-1.1374913698567835,short
2022-04-20 12:00:00+00:00,-1.0976152074017507,long
2022-04-20 22:00:00+00:00,-1.0659942106917617,long
2022-04-24 10:00:00+00:00,-1.238203056203963,long
2022-04-28 12:00:00+00:00,1.9780108192176158,short
2022-05-02 05:00:00+00:00,-1.059017439871896,long
2022-05-02 13:00:00+00:00,1.977558414851316,long
2022-05-02 21:00:00+00:00,1.9786203431045388,short
2022-05-04 01:00:00+00:00,-1.1280455213280383,short
2022-05-06 07:00:00+00:00,-1.0772265759166946,long
2022-05-12 01:00:00+00:00,-0.6978893720315081,long
2022-05-14 21:00:00+00:00,-1.0828768567327278,short
2022-05-15 14:00:00+00:00,1.9716916598274292,long
2022-05-17 18:00:00+00:00,1.9798232189157687,long
2022-05-18 01:00:00+00:00,-1.027538275442446,long
2022-05-18 22:00:00+00:00,-1.1318412955367334,long
2022-05-21 02:00:00+00:00,-1.079833081316849,short
2022-05-22 05:00:00+00:00,-1.101290198267957,short
2022-05-24 06:00:00+00:00,-1.0550174738796323,long
2022-05-25 00:00:00+00:00,-1.073626463428144,long
2022-05-26 19:00:00+00:00,1.9921862870890137,long
2022-06-02 19:00:00+00:00,-1.0937347860526627,short
2022-06-04 12:00:00+00:00,1.974908883962827,long
2022-06-06 21:00:00+00:00,1.9476979026900274,short
2022-06-07 11:00:00+00:00,1.9690504575542604,long
2022-06-10 09:00:00+00:00,-1.0562231493272698,long
2022-06-11 05:00:00+00:00,-1.0675274185635002,long
2022-06-15 16:00:00+00:00,-1.0449577286055398,long
2022-06-16 10:00:00+00:00,1.9884471490742348,long
2022-06-17 17:00:00+00:00,1.9875922698607862,short
2022-06-19 03:00:00+00:00,-1.0300377037249802,short
2022-06-20 09:00:00+00:00,-1.071421627762279,short
2022-06-22 01:00:00+00:00,1.9809003915373655,long
